Couleur;Code;RGBA
Bleu-Canard-7g;#9DDEE4;rgba(157, 222, 228, 1.0)
Bleu-Charette-7g;#81C5DA;rgba(129, 197, 218, 1.0)
Bleu-Charette-15g;#8ED0E7;rgba(142, 208, 231, 1.0)
Bleu-Lavande-3g;#B8BECE;rgba(184, 190, 206, 1.0)
Bleu-lavande-7g;#9FAED2;rgba(159, 174, 210, 1.0)
Bleu-Outremer-3g;#9AB0E0;rgba(154, 176, 224, 1.0)
Bleu-Outremer-7g;#688EDE;rgba(104, 142, 222, 1.0)
Gris-Etain-17g;#E0D6C7;rgba(224, 214, 199, 1.0)
Jaune-920-1g;#EFCE98;rgba(239, 206, 152, 1.0)
Jaune-920-3g;#F8C362;rgba(248, 195, 98, 1.0)
Jaune-920-7g;#E8AE42;rgba(232, 174, 66, 1.0)
Jaune-920-17g;#D7982F;rgba(215, 152, 47, 1.0)
Jaune-Citron-3g;#D7D0C0;rgba(215, 208, 192, 1.0)
Jaune-Indien-7g;#D3AF8B;rgba(211, 175, 139, 1.0)
Marron-Glaise-7g;#DDC6BE;rgba(221, 198, 190, 1.0)
Ocre-Havance-1g;#D4C2B5;rgba(212, 194, 181, 1.0)
Ocre-Havance-3g;#D3B498;rgba(211, 180, 152, 1.0)
Ocre-Jaune-jfles-3g;#E5CCAC;rgba(229, 204, 172, 1.0)
Ombre-De-Chypre-HG-7g;#BB9779;rgba(187, 151, 121, 1.0)
Ombre-Naturelle-7g;#BBA99B;rgba(187, 169, 155, 1.0)
Ombre-Naturelle-17g;#A38A75;rgba(163, 138, 117, 1.0)
Orange-960-1g;#C49265;rgba(196, 146, 101, 1.0)
Orange-960-3g;#C56E3D;rgba(197, 110, 61, 1.0)
Oxy-Apt-Jaune-3g;#E9D3B4;rgba(233, 211, 180, 1.0)
Oxy-Apt-Jaune-3g-Bis;#E5CBAB;rgba(229, 203, 171, 1.0)
Oxy-Apt-Jaune-7g;#E9C893;rgba(233, 200, 147, 1.0)
Patine-Terre-17g;#D3CBC4;rgba(211, 203, 196, 1.0)
Rouge-130-1g;#EF987D;rgba(239, 152, 125, 1.0)
Rouge-Ercolano-7g;#E5734C;rgba(229, 115, 76, 1.0)
Rouge-Indien-1g;#DDB6AE;rgba(221, 182, 174, 1.0)
Rouge-Indien-3g;#DFACA2;rgba(223, 172, 162, 1.0)
Rouge-San-Franc-3g;#F2CBCC;rgba(242, 203, 204, 1.0)
Rouge-San-Franc-7g;#F4C9CA;rgba(244, 201, 202, 1.0)
Rouge-San-Franc-15g;#F6B6B5;rgba(246, 182, 181, 1.0)
Rouge-Vermillon-1g;#CFB1B1;rgba(207, 177, 177, 1.0)
Sienne-Calcinée-3g;#DAAE9C;rgba(218, 174, 156, 1.0)
Sienne-Naturelle-17g;#D6A77A;rgba(214, 167, 122, 1.0)
Ton-Pierre-1g;#E5C895;rgba(229, 200, 149, 1.0)
Ton-Pierre-3g;#EFBF6F;rgba(239, 191, 111, 1.0)
Ton-Pierre-7g;#E8A644;rgba(232, 166, 68, 1.0)
Ton-Pierre-17g;#D98D36;rgba(217, 141, 54, 1.0)
Vert-A-La-Chaux-3g;#CED8D5;rgba(206, 216, 213, 1.0)
Vert-A-La-Chaux-15g;#A8DFD8;rgba(168, 223, 216, 1.0)
Vert-Monte-Carlo-3g;#CFDADE;rgba(207, 218, 222, 1.0)
Vert-Monte-Carlo-7g;#AABDB6;rgba(170, 189, 182, 1.0)
Vert-Monte-Carlo-15g;#99AEA6;rgba(153, 174, 166, 1.0)
Vert-Monte-Carlo-17g;#91A8A0;rgba(145, 168, 160, 1.0)
Vert-Pistache-7g;#A2AC98;rgba(162, 172, 152, 1.0)
Vert-Pistache-15g;#95A288;rgba(149, 162, 136, 1.0)
Blanc-Tiona-1g;#F0EDEB;rgba(240, 237, 235, 1.0)
Blanc-Tiona-3g;#D9D6D4;rgba(217, 214, 212, 1.0)
Blanc-Tiona-7g;#DBD9D7;rgba(219, 217, 215, 1.0)
Bleu-Charette-1g;#DEE1E2;rgba(222, 225, 226, 1.0)
Bleu-Charette-3g;#ABC7D0;rgba(171, 199, 208, 1.0)
Bleu-Lavande-1g;#C4C6CA;rgba(196, 198, 202, 1.0)
Bleu-Outremer-1g;#C1CBDA;rgba(193, 203, 218, 1.0)
Bois-De-Rose-1g;#EEE0DD;rgba(238, 224, 221, 1.0)
Bois-De-Rose-3g;#ECCFCB;rgba(236, 207, 203, 1.0)
Bois-De-Rose-7g;#FCC8BC;rgba(252, 200, 188, 1.0)
Gris-Anthracite-1g;#EAE6E5;rgba(234, 230, 229, 1.0)
Gris-Anthracite-3g;#DFDEE1;rgba(223, 222, 225, 1.0)
Gris-Ardoise-1g;#D0CCCA;rgba(208, 204, 202, 1.0)
Gris-Ardoise-3g;#CCCAC9;rgba(204, 202, 201, 1.0)
Gris-Ardoise-7g;#D2CECC;rgba(210, 206, 204, 1.0)
Gris-Ardoise-12g;#C3BEBE;rgba(195, 190, 190, 1.0)
Gris-Ardoise-17g;#C5C2C2;rgba(197, 194, 194, 1.0)
Gris-Etain-1g;#E2DEDB;rgba(226, 222, 219, 1.0)
Gris-Etain-3g;#F1EFEE;rgba(241, 239, 238, 1.0)
Sienne-Calcinée-1g;#DCC2B9;rgba(220, 194, 185, 1.0)
Sienne-Natuelle-1g;#F9EAD9C;rgba(0,0,0,1)
Sienne-Natuelle-3g;#EDDBCB;rgba(237, 219, 203, 1.0)
Sienne-Natuelle-7g;#E8D3B7;rgba(232, 211, 183, 1.0)
Terre-Jaune-D-Italie-1g;#DED4C7;rgba(222, 212, 199, 1.0)
Terre-Jaune-D-Italie-3g;#E9D8C1;rgba(233, 216, 193, 1.0)
Terre-Omb-Verd-1g;#CAC4C0;rgba(202, 196, 192, 1.0)
Terre-Omb-Verd-3g;#D1C6C0;rgba(209, 198, 192, 1.0)
Terre-Omb-Verd-7g;#B5A79C;rgba(181, 167, 156, 1.0)
Terre-V-Anc-1g;#E0DCD9;rgba(224, 220, 217, 1.0)
Terre-V-Anc-3g;#D8D3CC;rgba(216, 211, 204, 1.0)
Terre-V-Anc-7g;#D5CCC5;rgba(213, 204, 197, 1.0)
Terre-V-Anc-12g;#D9CFC2;rgba(217, 207, 194, 1.0)
Terre-V-D-N-1g;#DADBD8;rgba(218, 219, 216, 1.0)
Terre-V-D-N-3g;#D4D5D1;rgba(212, 213, 209, 1.0)
